0.4712529529,0.3581900807,0.19675925925925924,64,64,64,80,"2314;FLII;DOID:750,DOID:1561,DOID:9970,DOID:11836,DOID:0014667,DOID:9834,DOID:2033,DOID:0080001,DOID:574,DOID:4,DOID:0060037,DOID:10754,DOID:0060673,DOID:2089,DOID:870,DOID:11971,DOID:0080006,DOID:5295,DOID:65,DOID:9779,DOID:92,DOID:9306,DOID:1279,DOID:0060388,DOID:14320,DOID:8927,DOID:0060287,DOID:1094,DOID:630,DOID:0060038,DOID:17,DOID:77,DOID:2303,DOID:2030,DOID:10124,DOID:6050,DOID:8534,DOID:0080014,DOID:5100,DOID:9370,DOID:7,DOID:0050815,DOID:540,DOID:13976,DOID:0060158,DOID:1492,DOID:5656,DOID:863,DOID:0060768,DOID:930,DOID:11963,DOID:9835,DOID:5614,DOID:374,DOID:2340,DOID:539,DOID:0050155,DOID:11175,DOID:150,DOID:2742,DOID:1059,DOID:11830,DOID:1934,DOID:9837,DOID:654"
0.3475839047,0.2003372931,0.057870370370370364,64,64,64,80,"2971;GTF3A;DOID:635,DOID:934,DOID:0050117,DOID:526,DOID:4"
0.4828863534,0.1163518126,0.057870370370370364,0,171,255,140,"9230;RAB11B;DOID:635,DOID:934,DOID:0050117,DOID:526,DOID:4"
0.6203296367,0.3092100266,0.0,0,171,255,140,51019;WASHC3;N
0.5128759268,0.6616347265,0.0,64,64,64,80,79735;TBC1D17;N
0.691874123,0.4382490357,0.2962962962962963,64,64,64,80,"2353;FOS;DOID:5691,DOID:0060036,DOID:4,DOID:1858,DOID:3527,DOID:870,DOID:9974,DOID:397,DOID:3138,DOID:12932,DOID:0060072,DOID:0050782,DOID:0060038,DOID:809,DOID:14566,DOID:331,DOID:0050828,DOID:3324,DOID:3683,DOID:0050739,DOID:4964,DOID:0060158,DOID:1492,DOID:561,DOID:332,DOID:9352,DOID:0050013,DOID:3571,DOID:1595,DOID:5614,DOID:2018,DOID:11504,DOID:1289,DOID:0060037,DOID:0050177,DOID:10825,DOID:12139,DOID:28,DOID:11832,DOID:9975,DOID:26,DOID:0050686,DOID:8927,DOID:630,DOID:229,DOID:1470,DOID:2030,DOID:11984,DOID:2444,DOID:0050736,DOID:6713,DOID:11712,DOID:114,DOID:811,DOID:0050155,DOID:10123,DOID:2848,DOID:936,DOID:1612,DOID:231,DOID:13089,DOID:591,DOID:574,DOID:0050700,DOID:1596,DOID:225,DOID:5093,DOID:53,DOID:4194,DOID:3119,DOID:1824,DOID:1287,DOID:1826,DOID:11465,DOID:0050621,DOID:3525,DOID:15,DOID:5656,DOID:1837,DOID:863,DOID:10763,DOID:2449,DOID:289,DOID:3602,DOID:1561,DOID:0014667,DOID:0060085,DOID:16,DOID:345,DOID:686,DOID:178,DOID:9973,DOID:302,DOID:3454,DOID:684,DOID:7,DOID:3526,DOID:37,DOID:303,DOID:1393,DOID:288,DOID:12098,DOID:9351,DOID:0060193,DOID:150,DOID:1428,DOID:1059,DOID:162"
0.5428398138,0.2823723005,0.12499999999999999,64,64,64,80,"3064;HTT;DOID:1561,DOID:5691,DOID:4,DOID:0060037,DOID:12139,DOID:1596,DOID:1443,DOID:11832,DOID:1826,DOID:0060038,DOID:1470,DOID:2030,DOID:480,DOID:331,DOID:7,DOID:3324,DOID:1393,DOID:4964,DOID:0060810,DOID:1492,DOID:863,DOID:1595,DOID:5614,DOID:0060309,DOID:9854,DOID:12859,DOID:0050888,DOID:0050155,DOID:12858,DOID:150,DOID:2848,DOID:936,DOID:1059,DOID:1289"
0.4504168155,0.452598359,0.0,64,64,64,80,26994;RNF11;N
0.3562206139,0.399589411,0.0,64,64,64,80,91833;WDR20;N
0.5437422186,0.3439076766,0.13425925925925924,64,64,64,80,"29110;TBK1;DOID:1561,DOID:9255,DOID:2033,DOID:93,DOID:4,DOID:0060037,DOID:12139,DOID:423,DOID:1596,DOID:1443,DOID:0060672,DOID:92,DOID:14320,DOID:0080000,DOID:318,DOID:319,DOID:0060038,DOID:1470,DOID:17,DOID:2030,DOID:331,DOID:7,DOID:66,DOID:3324,DOID:679,DOID:681,DOID:4189,DOID:4964,DOID:863,DOID:332,DOID:1595,DOID:767,DOID:0110069,DOID:150,DOID:2848,DOID:936,DOID:1289,DOID:231"
